,Name,Author
0,10-Day Green Smoothie Cleanse,JJ Smith
1,11/22/63: A Novel,Stephen King
2,12 Rules for Life: An Antidote to Chaos,Jordan B. Peterson
3,1984 (Signet Classics),George Orwell
4,"5,000 Awesome Facts (About Everything!) (National Geographic Kids)",National Geographic Kids
5,A Dance with Dragons (A Song of Ice and Fire),George R. R. Martin
6,A Game of Thrones / A Clash of Kings / A Storm of Swords / A Feast of Crows / A Dance with Dragons,George R. R. Martin
7,A Gentleman in Moscow: A Novel,Amor Towles
8,"A Higher Loyalty: Truth, Lies, and Leadership",James Comey
9,A Man Called Ove: A Novel,Fredrik Backman
10,A Man Called Ove: A Novel,Fredrik Backman
11,A Patriot's History of the United States: From Columbus's Great Discovery to the War on Terror,Larry Schweikart
12,A Stolen Life: A Memoir,Jaycee Dugard
13,A Wrinkle in Time (Time Quintet),Madeleine L'Engle
14,"Act Like a Lady, Think Like a Man: What Men Really Think About Love, Relationships, Intimacy, and Commitment",Steve Harvey
15,"Adult Coloring Book Designs: Stress Relief Coloring Book: Garden Designs, Mandalas, Animals, and Paisley Patterns",Adult Coloring Book Designs
16,Adult Coloring Book: Stress Relieving Animal Designs,Blue Star Coloring
17,Adult Coloring Book: Stress Relieving Patterns,Blue Star Coloring
18,"Adult Coloring Books: A Coloring Book for Adults Featuring Mandalas and Henna Inspired Flowers, Animals, and Paisley…",Coloring Books for Adults
19,Alexander Hamilton,Ron Chernow
20,All the Light We Cannot See,Anthony Doerr
21,All the Light We Cannot See,Anthony Doerr
22,Allegiant,Veronica Roth
23,American Sniper: The Autobiography of the Most Lethal Sniper in U.S. Military History,Chris Kyle
24,And the Mountains Echoed,Khaled Hosseini
25,Arguing with Idiots: How to Stop Small Minds and Big Government,Glenn Beck
26,Astrophysics for People in a Hurry,Neil deGrasse Tyson
27,"Autobiography of Mark Twain, Vol. 1",Mark Twain
28,Baby Touch and Feel: Animals,DK
29,Balance (Angie's Extreme Stress Menders),Angie Grace
